TransactionID,CustomerCode,Accessories_name,Accessories_subname,Unitprice,Unit,SalesValue
P102617,0113A0000001373,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P102665,0113A9000000293,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P102682,0113AA000001031,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P102786,0113A$000000839,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P102802,0113A0000000454,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P102816,0111AS000000857,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P102901,0113AA000000150,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P102957,0112AJ000000058,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P102978,0113A7000000264,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P103049,0113A0000001703,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P103113,0113AA000003751,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P103138,0113A$000001066,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P103200,0113AA000001492,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P103403,0113AA000000431,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P103478,0113A$000001452,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P103613,0113A8000000169,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P103680,0113AC000000542,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P103690,0113AB000000016,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P103693,0113AB000000447,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P103767,0113A9000000007,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P103809,0113AA000001204,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P103900,0113AA000001956,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P103990,0113A9000000132,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P104161,0113AA000000421,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P104171,0113AA000001503,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P104226,0113AG000000751,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P104228,0113AG000000915,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P104274,0113A$000000872,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P104284,0113AB000000843,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P104299,0113AC000000428,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P104309,0113AJ000000240,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P104342,0113AA000003869,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P104362,0113AC000000272,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P104436,0113AB000001580,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P104444,0113AG000000073,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P104462,0113AK000000711,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P104463,0113AK000000814,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P104569,0113AC000000191,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P104582,0113AA000002368,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P104602,0113AB000000016,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P104681,0113AA000002371,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P104771,0113AK000000959,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P104814,0113A8000000378,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P104841,0113AA000001714,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P104847,0113AK000000333,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P104913,0113AA000002002,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P105004,0113AG000000837,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P105081,0113BD000000145,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P105146,0113AC000001041,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P105213,0113AS000000030,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P105235,0113A$000001399,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P105237,0113A$000001457,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P105241,0113A0000000190,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P105251,0113A0000000986,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P105258,0113A0000001271,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P105372,0113AJ000000354,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P105378,0113AK000000348,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P105447,0113AC000001140,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P105481,0113AK000000957,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P105581,0113AS000000758,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P105611,0113AN000000291,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P105657,0113AA000004330,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P105665,0113AB000000297,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P105685,0113AA000001002,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P105696,0113AA000001639,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P105725,0113AY000000048,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P105806,0113AN000000284,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P105817,0113AQ000000441,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P105877,0113AT000000119,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P105912,0113AA000004414,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P105916,0113AB000000551,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P105927,0113BY000000239,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P106011,0113AR000000256,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P106040,0113AK000000707,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P106072,0113A7000000091,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P106104,0113AV000000252,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P106115,0113AW000000690,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P106117,0113AW000001090,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P106121,0113AY000000189,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P106162,0113BD000000352,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P106235,0113AA000004394,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P106239,0113AB000000005,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P106258,0113AN000000042,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P106282,0113AG000000511,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P106368,0113AV000000252,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P106383,0113AW000000965,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P106384,0113AW000000996,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P106408,0113AB000001520,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P106444,0113CM000000036,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P106519,0113AU000000256,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P106524,0113AV000000358,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P106570,0113AB000000005,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P106572,0113AB000000198,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P106578,0113AB000001228,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P106636,0113AA000000699,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P106643,0113AA000001282,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P106660,0113AA000003154,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P106712,0113BG000000043,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P106719,0113BG000000473,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P106749,0113AT000000468,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P106773,0113AN000000133,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P106793,0113AC000000449,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P106794,0113AC000000701,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P106863,0113AK000000700,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P106879,0113BG000000618,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P107021,0113AC000000831,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P107083,0113BZ000000250,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P107106,0113CL000000787,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P107115,0113AB000000770,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P107207,0113BM000000058,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P107216,0113BX000000239,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P107224,0113BZ000000072,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P107247,0113AK000000959,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P107313,0113CL000000307,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P107320,0113CP000000122,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P107350,0113AT000000405,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P107353,0113AN000000628,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P107373,0113AS000000569,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P107383,0113AW000000302,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P107388,0113AW000000502,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P107425,0113AK000000518,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P107428,0113AK000000868,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P107482,0113AG000000692,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P107509,0113AT000000078,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P107537,0113AU000000071,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P107581,0113CY000000404,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P107610,0113CL000000770,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P107689,0113AG000000938,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P107697,0113AJ000000056,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P107726,0113AV000000218,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P107739,0113AW000001080,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P108006,0113DB000000227,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P108022,0113DE000000614,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P108075,0113AN000000143,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P108099,0113BD000000061,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P108114,0113BG000000625,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P108183,0113DT000000173,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P108278,0113AT000000538,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P108332,0113AS000000857,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P108339,0113AS000000584,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P108481,0113DI000000108,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P108513,0113AT000000205,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P108552,0113AW000000002,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P108618,0113DW000000468,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P108619,0113DW000000629,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P108622,0113DX000000413,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P108661,0113BG000000821,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P108663,0113BG000000863,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P108689,0113BM000000336,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P108793,0113AW000000587,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P108797,0113AW000000891,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P108950,0113BU000000036,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P109003,0113EB000000195,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P109039,0113AY000000446,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P109058,0113CP000000131,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P109083,0113DC000000125,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P109086,0113CP000000464,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P109115,0113BZ000000326,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P109177,0113BU000000050,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P109187,0113BY000000030,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P109205,0113BD000000218,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P109217,0113BG000000304,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P109371,0113DQ000000100,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P109424,0113DT000000425,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P109447,0113CY000000204,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P109503,0208KH000000431,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P109524,0210AB000002221,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P109566,0113BG000000224,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P109647,0113DZ000000147,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P109713,0113CL000000518,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P109724,0113CP000000395,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P109758,0113DC000000359,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P109815,0113CL000000690,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P109828,0113CR000000254,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P109860,0113BD000000388,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P109927,0113BP000000199,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P109930,0113BX000000046,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P110045,0113CJ000000119,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P110077,0210AS000001579,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P110113,0113DC000000314,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P110121,0113DE000000428,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P110193,0113DR000000495,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P110210,0113DV000000307,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P110265,0213A$000000037,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P110435,0212AN000000786,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P110498,0113CY000000092,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P110659,0113DP000000341,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P110666,0113DQ000000427,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P110721,0113CL000000209,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P110778,0113DR000000351,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P110804,0113BG000000301,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P110974,0113BU000000256,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P110983,0113BZ000000059,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P111050,0113CR000000151,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P111079,0113DJ000000175,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P111156,0113DF000000105,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P111206,0113EB000000228,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P111245,0213A9000000301,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P111251,0213A9000000596,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P111320,0113AK000000011,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P111321,0113AK000000156,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P111507,0113DQ000000349,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P111651,0113DY000001114,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P111672,0213AA000001259,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P111715,0113DQ000000273,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P111781,0113HD000000164,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P111908,0211AR000000146,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P111925,0212CR000000178,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P111947,0113DR000000163,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P112071,0213AB000000028,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P112109,0113BD000000018,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P112116,0113CJ000000086,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P112122,0113CL000000124,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P112144,0113DW000000667,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P112148,0113DY000000117,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P112239,0113DW000000676,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P112324,0209$H000000962,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P112349,0113EB000000199,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P112381,0209IH000001315,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P112536,0210A0000001906,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P112617,0113HD000000515,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P112634,0211AC000000319,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P112708,0113BI000000042,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P112710,0113BM000000139,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P112741,0113DV000000704,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P112754,0113DR000000456,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P112786,0213A0000001116,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P112827,0210AO000001077,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P112834,0211A0000001532,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P112943,0113DH000000003,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P113024,0113BU000000004,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P113026,0113BX000000014,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P113049,0113CJ000000188,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P113097,0113DY000000272,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P113170,0212AA000004697,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P113326,0113DR000000096,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P113383,0113CU000000262,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P113561,0113CZ000000278,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P113587,0113CR000000189,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P113589,0113CR000000247,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P113598,0113CY000000060,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P113619,0213AR000000069,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P113636,0207AH000003901,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P113637,0207CH000001140,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P113675,0209BH000001416,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P113751,0113BG000000517,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
